iter	Logloss
0	0.6904424512
1	0.6874731351
2	0.6842589607
3	0.6814184858
4	0.6791422425
5	0.6764995889
6	0.674157494
7	0.671310607
8	0.6689365059
9	0.6663629183
10	0.6641482922
11	0.6618318461
12	0.6597384469
13	0.6570097454
14	0.6550651269
15	0.6529104051
16	0.6510291495
17	0.6491003379
18	0.6469543256
19	0.6446427578
20	0.6422406387
21	0.6400869336
22	0.6379380962
23	0.6361340933
24	0.6341603228
25	0.6325049114
26	0.6305166232
27	0.6289047223
28	0.6270147274
29	0.6252919
30	0.623361646
31	0.6217090029
32	0.6197120464
33	0.6180862899
34	0.616297934
35	0.6147214986
36	0.6134120774
37	0.6115188974
38	0.6100024152
39	0.6078590359
40	0.6061228154
41	0.6046708218
42	0.6034044215
43	0.6022310171
44	0.6010320548
45	0.5994197686
46	0.5978279014
47	0.5964486301
48	0.5948145352
49	0.5934730725
50	0.5920757499
51	0.5905705574
52	0.5889895844
53	0.5874530205
54	0.5863987213
55	0.5853902449
56	0.5839468738
57	0.5828637074
58	0.5820141564
59	0.5808847882
60	0.5797198928
61	0.5786109155
62	0.5769564695
63	0.5755774676
64	0.5741514612
65	0.5730781212
66	0.5718859787
67	0.5708922941
68	0.5699043082
69	0.5692616358
70	0.5676305585
71	0.5661014613
72	0.5653071539
73	0.5641171501
74	0.5634574421
75	0.5625739333
76	0.5617762289
77	0.5608843546
78	0.5600621802
79	0.5593384803
80	0.5584637061
81	0.5576672331
82	0.5569589292
83	0.555808304
84	0.554583843
85	0.5540796754
86	0.5532227931
87	0.552519027
88	0.5518582718
89	0.5509695509
90	0.5503080939
91	0.5496472419
92	0.5486860916
93	0.5477108619
94	0.5469116081
95	0.5464195341
96	0.5453907958
97	0.5446805526
98	0.5438038512
99	0.5428829831
100	0.5418827038
101	0.5413440033
102	0.5405536075
103	0.5395001821
104	0.5391351369
105	0.5385077965
106	0.5378634518
107	0.5373396676
108	0.536567983
109	0.5359167782
110	0.53516062
111	0.53437573
112	0.5336484941
113	0.5328594107
114	0.5321773808
115	0.5318333525
116	0.5309561797
117	0.5299590026
118	0.5294548339
119	0.5292114796
120	0.5286643355
121	0.5282189926
122	0.5274853354
123	0.5270481222
124	0.5266367696
125	0.5260446817
126	0.525401972
127	0.5249621527
128	0.5244410371
129	0.5237623679
130	0.5232529213
131	0.5230149556
132	0.5226315353
133	0.5216929574
134	0.5209881166
135	0.5199804321
136	0.5198928449
137	0.5195647668
138	0.5191056108
139	0.5188118751
140	0.5181135512
141	0.5175302908
142	0.5169548936
143	0.5158248538
144	0.515131425
145	0.5144172603
146	0.5139466064
147	0.5135019447
148	0.5131509235
149	0.512540772
150	0.5122684516
151	0.5117824347
152	0.511154603
153	0.5107184839
154	0.5100883566
155	0.5096221702
156	0.5093208499
157	0.5087444264
158	0.5085000801
159	0.5080223549
160	0.5072993024
161	0.5067278664
162	0.506309736
163	0.505659156
164	0.504930094
165	0.5041324951
166	0.5034757813
167	0.5033519471
168	0.5029486433
169	0.5027437835
170	0.5022328421
171	0.5019197887
172	0.5015954038
173	0.5011792235
174	0.5009044532
175	0.5002464474
176	0.4998340271
177	0.4993784855
178	0.498790283
179	0.4984207072
180	0.4979779823
181	0.4977340184
182	0.4973036598
183	0.496781928
184	0.4964831197
185	0.4962686859
186	0.495933256
187	0.4956105621
188	0.4952411263
189	0.4943385112
190	0.4938415841
191	0.4933214269
192	0.4928626451
193	0.492151237
194	0.4918102531
195	0.4914142313
196	0.4908975337
197	0.4903355302
198	0.4898289434
199	0.4895863854
200	0.4889597104
201	0.4885271105
202	0.4882954542
203	0.4874517161
204	0.4872059153
205	0.4869858339
206	0.4864067945
207	0.4861786195
208	0.4858641246
209	0.4853898018
210	0.4846666031
211	0.4843245243
212	0.4838197177
213	0.4829874215
214	0.4827434006
215	0.4825425801
216	0.4821553093
217	0.4817833908
218	0.4812155287
219	0.4811399911
220	0.4807231284
221	0.4801400736
222	0.4799003461
223	0.4795003591
224	0.4790383758
225	0.4786715366
226	0.4782473124
227	0.4778709652
228	0.4773804137
229	0.4768811491
230	0.4765869819
231	0.4760727309
232	0.4757724606
233	0.4750711517
234	0.4747265561
